threshold,start,end
0.01,2024-02-05 12:24:50.995989+09:00,2024-02-05 12:24:51.865908+09:00
0.03,2024-02-05 12:24:51.093346+09:00,2024-02-05 12:24:51.843736+09:00
0.05,2024-02-05 12:24:51.250832+09:00,2024-02-05 12:24:51.738687+09:00
0.07,2024-02-05 12:24:51.385896+09:00,2024-02-05 12:24:51.693884+09:00
0.09,2024-02-05 12:24:51.408901+09:00,2024-02-05 12:24:51.693884+09:00
0.11,2024-02-05 12:24:51.408901+09:00,2024-02-05 12:24:51.678717+09:00
0.13,2024-02-05 12:24:51.416273+09:00,2024-02-05 12:24:51.678717+09:00
0.15,2024-02-05 12:24:51.430912+09:00,2024-02-05 12:24:51.678717+09:00
0.17,2024-02-05 12:24:51.430912+09:00,2024-02-05 12:24:51.678717+09:00
0.19,2024-02-05 12:24:51.430912+09:00,2024-02-05 12:24:51.678717+09:00
0.21,2024-02-05 12:24:51.461177+09:00,2024-02-05 12:24:51.678717+09:00
