threshold,start,end
0.01,2024-02-05 12:25:00.498701+09:00,2024-02-05 12:25:01.166274+09:00
0.03,2024-02-05 12:25:00.498701+09:00,2024-02-05 12:25:01.113360+09:00
0.05,2024-02-05 12:25:00.693915+09:00,2024-02-05 12:25:01.083376+09:00
0.07,2024-02-05 12:25:00.693915+09:00,2024-02-05 12:25:01.053571+09:00
0.09,2024-02-05 12:25:00.700845+09:00,2024-02-05 12:25:01.001363+09:00
0.11,2024-02-05 12:25:00.723452+09:00,2024-02-05 12:25:01.001363+09:00
0.13,2024-02-05 12:25:00.731182+09:00,2024-02-05 12:25:01.001363+09:00
0.15,2024-02-05 12:25:00.731182+09:00,2024-02-05 12:25:01.001363+09:00
0.17,2024-02-05 12:25:00.731182+09:00,2024-02-05 12:25:00.978653+09:00
0.19,2024-02-05 12:25:00.731182+09:00,2024-02-05 12:25:00.978653+09:00
0.21,2024-02-05 12:25:00.731182+09:00,2024-02-05 12:25:00.978653+09:00
