threshold,start,end
0.01,2024-02-05 12:24:46.646279+09:00,2024-02-05 12:24:47.688480+09:00
0.03,2024-02-05 12:24:46.720944+09:00,2024-02-05 12:24:47.598585+09:00
0.05,2024-02-05 12:24:46.968305+09:00,2024-02-05 12:24:47.576242+09:00
0.07,2024-02-05 12:24:46.969382+09:00,2024-02-05 12:24:47.493887+09:00
0.09,2024-02-05 12:24:46.969382+09:00,2024-02-05 12:24:47.433901+09:00
0.11,2024-02-05 12:24:46.969382+09:00,2024-02-05 12:24:47.433901+09:00
0.13,2024-02-05 12:24:46.969382+09:00,2024-02-05 12:24:47.433901+09:00
0.15,2024-02-05 12:24:46.969382+09:00,2024-02-05 12:24:47.081236+09:00
0.17,2024-02-05 12:24:46.969382+09:00,2024-02-05 12:24:47.081236+09:00
0.19,2024-02-05 12:24:46.998631+09:00,2024-02-05 12:24:47.081236+09:00
0.21,2024-02-05 12:24:47.043454+09:00,2024-02-05 12:24:47.081236+09:00
