threshold,start,end
0.01,2024-02-05 12:25:17.553687+09:00,2024-02-05 12:25:18.100996+09:00
0.03,2024-02-05 12:25:17.561165+09:00,2024-02-05 12:25:18.018555+09:00
0.05,2024-02-05 12:25:17.598536+09:00,2024-02-05 12:25:18.018555+09:00
0.07,2024-02-05 12:25:17.598536+09:00,2024-02-05 12:25:18.018555+09:00
0.09,2024-02-05 12:25:17.598536+09:00,2024-02-05 12:25:17.935839+09:00
0.11,2024-02-05 12:25:17.613506+09:00,2024-02-05 12:25:17.891865+09:00
0.13,2024-02-05 12:25:17.613506+09:00,2024-02-05 12:25:17.891865+09:00
0.15,2024-02-05 12:25:17.658686+09:00,2024-02-05 12:25:17.891865+09:00
0.17,2024-02-05 12:25:17.658686+09:00,2024-02-05 12:25:17.891865+09:00
0.19,2024-02-05 12:25:17.658686+09:00,2024-02-05 12:25:17.891865+09:00
0.21,2024-02-05 12:25:17.658686+09:00,2024-02-05 12:25:17.891865+09:00
