threshold,start,end
0.01,2024-02-05 12:25:09.235860+09:00,2024-02-05 12:25:09.948422+09:00
0.03,2024-02-05 12:25:09.235860+09:00,2024-02-05 12:25:09.895910+09:00
0.05,2024-02-05 12:25:09.235860+09:00,2024-02-05 12:25:09.881200+09:00
0.07,2024-02-05 12:25:09.235860+09:00,2024-02-05 12:25:09.858320+09:00
0.09,2024-02-05 12:25:09.483272+09:00,2024-02-05 12:25:09.761282+09:00
0.11,2024-02-05 12:25:09.483272+09:00,2024-02-05 12:25:09.761282+09:00
0.13,2024-02-05 12:25:09.483272+09:00,2024-02-05 12:25:09.761282+09:00
0.15,2024-02-05 12:25:09.490848+09:00,2024-02-05 12:25:09.761282+09:00
0.17,2024-02-05 12:25:09.520777+09:00,2024-02-05 12:25:09.761282+09:00
0.19,2024-02-05 12:25:09.520777+09:00,2024-02-05 12:25:09.761282+09:00
0.21,2024-02-05 12:25:09.520777+09:00,2024-02-05 12:25:09.700896+09:00
