threshold,start,end
0.01,2024-02-05 12:25:04.878525+09:00,2024-02-05 12:25:05.741459+09:00
0.03,2024-02-05 12:25:05.081327+09:00,2024-02-05 12:25:05.703722+09:00
0.05,2024-02-05 12:25:05.133368+09:00,2024-02-05 12:25:05.696016+09:00
0.07,2024-02-05 12:25:05.141097+09:00,2024-02-05 12:25:05.666447+09:00
0.09,2024-02-05 12:25:05.141097+09:00,2024-02-05 12:25:05.628293+09:00
0.11,2024-02-05 12:25:05.141097+09:00,2024-02-05 12:25:05.628293+09:00
0.13,2024-02-05 12:25:05.141097+09:00,2024-02-05 12:25:05.576437+09:00
0.15,2024-02-05 12:25:05.148412+09:00,2024-02-05 12:25:05.576437+09:00
0.17,2024-02-05 12:25:05.215935+09:00,2024-02-05 12:25:05.576437+09:00
0.19,2024-02-05 12:25:05.215935+09:00,2024-02-05 12:25:05.576437+09:00
0.21,2024-02-05 12:25:05.215935+09:00,2024-02-05 12:25:05.298723+09:00
