threshold,start,end
0.6,2024-01-27 02:30:43.733768+09:00,2024-01-27 02:30:45.623792+09:00
0.8,2024-01-27 02:30:43.733768+09:00,2024-01-27 02:30:45.623792+09:00
1.0,2024-01-27 02:30:43.733768+09:00,2024-01-27 02:30:45.623792+09:00
1.2,2024-01-27 02:30:44.236240+09:00,2024-01-27 02:30:44.543784+09:00
1.4,2024-01-27 02:30:44.236240+09:00,2024-01-27 02:30:44.446196+09:00
1.6,2024-01-27 02:30:44.236240+09:00,2024-01-27 02:30:44.446196+09:00
1.8,2024-01-27 02:30:44.236240+09:00,2024-01-27 02:30:44.243520+09:00
2.0,2024-01-27 02:30:44.236240+09:00,2024-01-27 02:30:44.243520+09:00
