threshold,start,end
0.01,2024-02-05 12:24:14.141546+09:00,2024-02-05 12:24:14.846395+09:00
0.03,2024-02-05 12:24:14.396082+09:00,2024-02-05 12:24:14.846395+09:00
0.05,2024-02-05 12:24:14.403885+09:00,2024-02-05 12:24:14.801169+09:00
0.07,2024-02-05 12:24:14.403885+09:00,2024-02-05 12:24:14.793827+09:00
0.09,2024-02-05 12:24:14.403885+09:00,2024-02-05 12:24:14.793827+09:00
0.11,2024-02-05 12:24:14.403885+09:00,2024-02-05 12:24:14.763518+09:00
0.13,2024-02-05 12:24:14.455978+09:00,2024-02-05 12:24:14.711135+09:00
0.15,2024-02-05 12:24:14.455978+09:00,2024-02-05 12:24:14.711135+09:00
0.17,2024-02-05 12:24:14.486336+09:00,2024-02-05 12:24:14.711135+09:00
0.19,2024-02-05 12:24:14.486336+09:00,2024-02-05 12:24:14.711135+09:00
0.21,2024-02-05 12:24:14.486336+09:00,2024-02-05 12:24:14.711135+09:00
