threshold,start,end
0.6,2024-01-27 02:30:14.821261+09:00,2024-01-27 02:30:16.710507+09:00
0.8,2024-01-27 02:30:14.821261+09:00,2024-01-27 02:30:16.710507+09:00
1.0,2024-01-27 02:30:14.835289+09:00,2024-01-27 02:30:16.710507+09:00
1.2,2024-01-27 02:30:15.360529+09:00,2024-01-27 02:30:15.810434+09:00
1.4,2024-01-27 02:30:15.360529+09:00,2024-01-27 02:30:15.682861+09:00
1.6,2024-01-27 02:30:15.360529+09:00,2024-01-27 02:30:15.367949+09:00
1.8,2024-01-27 02:30:15.360529+09:00,2024-01-27 02:30:15.367949+09:00
2.0,2024-01-27 02:30:15.360529+09:00,2024-01-27 02:30:15.367949+09:00
