Time 2023-11-27 13:08:31.186463, yaw 9, pitch -4, roll 7
Time 2023-11-27 13:08:31.252957, yaw 10, pitch -5, roll 7
Time 2023-11-27 13:08:31.322980, yaw 11, pitch -7, roll 7
Time 2023-11-27 13:08:31.377367, yaw 9, pitch -15, roll 6
Time 2023-11-27 13:08:31.447830, yaw 9, pitch -11, roll 7
Time 2023-11-27 13:08:31.510656, yaw 10, pitch -16, roll 7
Time 2023-11-27 13:08:31.575839, yaw 13, pitch -20, roll 6
Time 2023-11-27 13:08:31.642284, yaw 12, pitch -23, roll 6
Time 2023-11-27 13:08:31.711904, yaw 12, pitch -26, roll 5
Time 2023-11-27 13:08:31.772665, yaw 12, pitch -25, roll 5
Time 2023-11-27 13:08:31.842495, yaw 12, pitch -24, roll 5
Time 2023-11-27 13:08:31.913144, yaw 11, pitch -22, roll 6
Time 2023-11-27 13:08:31.978799, yaw 11, pitch -20, roll 4
Time 2023-11-27 13:08:32.039286, yaw 9, pitch -19, roll 4
Time 2023-11-27 13:08:32.118448, yaw 8, pitch -17, roll 2
Time 2023-11-27 13:08:32.174268, yaw 6, pitch -14, roll 2
Time 2023-11-27 13:08:32.247973, yaw 4, pitch -13, roll 1
Time 2023-11-27 13:08:32.322744, yaw 5, pitch -12, roll 0
Time 2023-11-27 13:08:32.378795, yaw 6, pitch -11, roll 0
Time 2023-11-27 13:08:32.454771, yaw 5, pitch -11, roll 1
Time 2023-11-27 13:08:32.518768, yaw 5, pitch -9, roll 0
Time 2023-11-27 13:08:32.582417, yaw 6, pitch -10, roll 1
Time 2023-11-27 13:08:32.649139, yaw 8, pitch -10, roll 1
Time 2023-11-27 13:08:32.719600, yaw 8, pitch -10, roll 2
Time 2023-11-27 13:08:32.784148, yaw 8, pitch -11, roll 3
Time 2023-11-27 13:08:32.853145, yaw 10, pitch -11, roll 3
Time 2023-11-27 13:08:32.921818, yaw 8, pitch -12, roll 4
Time 2023-11-27 13:08:32.979772, yaw 9, pitch -13, roll 4
Time 2023-11-27 13:08:33.038859, yaw 10, pitch -13, roll 4
Time 2023-11-27 13:08:33.118073, yaw 10, pitch -13, roll 4
Time 2023-11-27 13:08:33.185760, yaw 10, pitch -14, roll 4
Time 2023-11-27 13:08:33.245180, yaw 10, pitch -14, roll 4
Time 2023-11-27 13:08:33.317717, yaw 10, pitch -14, roll 5
Time 2023-11-27 13:08:33.385261, yaw 11, pitch -14, roll 4
Time 2023-11-27 13:08:33.445341, yaw 11, pitch -14, roll 5
Time 2023-11-27 13:08:33.507048, yaw 10, pitch -12, roll 5
Time 2023-11-27 13:08:33.576726, yaw 10, pitch -11, roll 5
Time 2023-11-27 13:08:33.642584, yaw 10, pitch -13, roll 5
Time 2023-11-27 13:08:33.718051, yaw 10, pitch -14, roll 4
Time 2023-11-27 13:08:33.770198, yaw 8, pitch -13, roll 5
Time 2023-11-27 13:08:33.835350, yaw 10, pitch -14, roll 4
Time 2023-11-27 13:08:33.903674, yaw 10, pitch -14, roll 4
Time 2023-11-27 13:08:33.977197, yaw 9, pitch -14, roll 4
Time 2023-11-27 13:08:34.041664, yaw 8, pitch -14, roll 5
Time 2023-11-27 13:08:34.118584, yaw 9, pitch -14, roll 4
Time 2023-11-27 13:08:34.176742, yaw 9, pitch -14, roll 5
Time 2023-11-27 13:08:34.252031, yaw 8, pitch -15, roll 5
Time 2023-11-27 13:11:44.789264, yaw 4, pitch -5, roll 1
Time 2023-11-27 13:11:45.003420, yaw 5, pitch -7, roll 2
Time 2023-11-27 13:11:45.065069, yaw 5, pitch -8, roll 2
Time 2023-11-27 13:11:45.136518, yaw 5, pitch -9, roll 2
Time 2023-11-27 13:11:45.198037, yaw 5, pitch -9, roll 2
Time 2023-11-27 13:11:45.262422, yaw 6, pitch -11, roll 2
Time 2023-11-27 13:11:45.336067, yaw 5, pitch -9, roll 2
Time 2023-11-27 13:11:45.397421, yaw 5, pitch -10, roll 2
Time 2023-11-27 13:11:45.462802, yaw 5, pitch -8, roll 2
Time 2023-11-27 13:11:45.530281, yaw 5, pitch -10, roll 2
Time 2023-11-27 13:11:45.596214, yaw 5, pitch -9, roll 2
Time 2023-11-27 13:11:45.662559, yaw 5, pitch -9, roll 2
Time 2023-11-27 13:11:45.730491, yaw 4, pitch -10, roll 2
Time 2023-11-27 13:11:45.799484, yaw 4, pitch -10, roll 2
Time 2023-11-27 13:11:45.867763, yaw 5, pitch -10, roll 2
Time 2023-11-27 13:11:45.939048, yaw 5, pitch -10, roll 2
Time 2023-11-27 13:11:45.996691, yaw 5, pitch -12, roll 3
Time 2023-11-27 13:11:46.072089, yaw 4, pitch -12, roll 2
Time 2023-11-27 13:11:46.130930, yaw 5, pitch -10, roll 2
Time 2023-11-27 13:11:46.199708, yaw 4, pitch -11, roll 2
Time 2023-11-27 13:11:46.273661, yaw 6, pitch -11, roll 2
Time 2023-11-27 13:11:46.341536, yaw 5, pitch -11, roll 2
Time 2023-11-27 13:11:46.410372, yaw 5, pitch -11, roll 2
Time 2023-11-27 13:11:46.477317, yaw 5, pitch -11, roll 2
Time 2023-11-27 13:11:46.528932, yaw 6, pitch -12, roll 2
Time 2023-11-27 13:11:46.606543, yaw 5, pitch -11, roll 2
Time 2023-11-27 13:11:46.666045, yaw 5, pitch -12, roll 2
