threshold,start,end
0.01,2024-02-05 12:24:19.488871+09:00,2024-02-05 12:24:20.373788+09:00
0.03,2024-02-05 12:24:19.623557+09:00,2024-02-05 12:24:20.254132+09:00
0.05,2024-02-05 12:24:19.645977+09:00,2024-02-05 12:24:20.246276+09:00
0.07,2024-02-05 12:24:19.661424+09:00,2024-02-05 12:24:20.246276+09:00
0.09,2024-02-05 12:24:19.668876+09:00,2024-02-05 12:24:20.246276+09:00
0.11,2024-02-05 12:24:19.691406+09:00,2024-02-05 12:24:20.246276+09:00
0.13,2024-02-05 12:24:19.743567+09:00,2024-02-05 12:24:20.223917+09:00
0.15,2024-02-05 12:24:19.758947+09:00,2024-02-05 12:24:20.178679+09:00
0.17,2024-02-05 12:24:19.758947+09:00,2024-02-05 12:24:20.178679+09:00
0.19,2024-02-05 12:24:19.758947+09:00,2024-02-05 12:24:20.178679+09:00
0.21,2024-02-05 12:24:19.758947+09:00,2024-02-05 12:24:19.856330+09:00
