threshold,start,end
0.01,2024-02-05 12:25:26.605957+09:00,2024-02-05 12:25:27.063688+09:00
0.03,2024-02-05 12:25:26.628678+09:00,2024-02-05 12:25:27.063688+09:00
0.05,2024-02-05 12:25:26.636249+09:00,2024-02-05 12:25:27.048575+09:00
0.07,2024-02-05 12:25:26.651210+09:00,2024-02-05 12:25:27.041261+09:00
0.09,2024-02-05 12:25:26.710799+09:00,2024-02-05 12:25:27.018359+09:00
0.11,2024-02-05 12:25:26.710799+09:00,2024-02-05 12:25:26.973862+09:00
0.13,2024-02-05 12:25:26.710799+09:00,2024-02-05 12:25:26.935975+09:00
0.15,2024-02-05 12:25:26.710799+09:00,2024-02-05 12:25:26.921386+09:00
0.17,2024-02-05 12:25:26.710799+09:00,2024-02-05 12:25:26.921386+09:00
0.19,2024-02-05 12:25:26.710799+09:00,2024-02-05 12:25:26.913680+09:00
0.21,2024-02-05 12:25:26.710799+09:00,2024-02-05 12:25:26.913680+09:00
