threshold,start,end
0.01,2024-02-05 12:24:55.293398+09:00,2024-02-05 12:24:56.351296+09:00
0.03,2024-02-05 12:24:55.488854+09:00,2024-02-05 12:24:56.178746+09:00
0.05,2024-02-05 12:24:55.579300+09:00,2024-02-05 12:24:56.095858+09:00
0.07,2024-02-05 12:24:55.593916+09:00,2024-02-05 12:24:56.095858+09:00
0.09,2024-02-05 12:24:55.600816+09:00,2024-02-05 12:24:55.781080+09:00
0.11,2024-02-05 12:24:55.600816+09:00,2024-02-05 12:24:55.781080+09:00
0.13,2024-02-05 12:24:55.646247+09:00,2024-02-05 12:24:55.781080+09:00
0.15,2024-02-05 12:24:55.646247+09:00,2024-02-05 12:24:55.781080+09:00
0.17,2024-02-05 12:24:55.676559+09:00,2024-02-05 12:24:55.758330+09:00
0.19,2024-02-05 12:24:55.676559+09:00,2024-02-05 12:24:55.736419+09:00
0.21,2024-02-05 12:24:55.676559+09:00,2024-02-05 12:24:55.736419+09:00
