Timestamp, yaw, pitch, roll
2024-02-12 13:55:51.918361, 2, 8, 163
2024-02-12 13:55:52.063878, 2, 8, 163
2024-02-12 13:55:52.076459, 0, 10, 162
2024-02-12 13:55:52.088150, -3, 3, -16
2024-02-12 13:55:52.099016, 1, 10, 164
2024-02-12 13:55:52.110532, 4, 8, 161
2024-02-12 13:55:52.149397, 4, 7, 159
2024-02-12 13:55:52.181223, 4, 7, 160
2024-02-12 13:55:52.213583, 2, 7, 161
2024-02-12 13:55:52.244411, 2, 5, 161
2024-02-12 13:55:52.275646, 3, 7, 161
2024-02-12 13:55:52.313560, 2, 11, 164
2024-02-12 13:55:52.349663, 0, 5, 162
2024-02-12 13:55:52.382137, 0, 8, 162
2024-02-12 13:55:52.411898, 1, 10, 164
2024-02-12 13:55:52.443517, 3, 6, 165
2024-02-12 13:55:52.475403, 2, 10, 164
2024-02-12 13:55:52.513533, 2, 8, 163
2024-02-12 13:55:52.544293, 3, 8, 159
2024-02-12 13:55:52.575307, 3, 9, 160
2024-02-12 13:55:52.608484, 0, 10, 161
2024-02-12 13:55:52.641302, 0, 13, 164
2024-02-12 13:55:52.677681, 0, 7, 163
2024-02-12 13:55:52.707541, 2, 9, 165
2024-02-12 13:55:52.740335, 2, 7, 162
2024-02-12 13:55:52.771987, 3, 8, 161
2024-02-12 13:55:52.805570, 0, 6, 162
2024-02-12 13:55:52.837005, 0, 12, 165
2024-02-12 13:55:52.873926, 3, 7, 161
2024-02-12 13:55:52.905332, 3, 8, 161
2024-02-12 13:55:52.937581, 2, 10, 162
2024-02-12 13:55:52.969412, 3, 8, 161
2024-02-12 13:55:53.001560, 1, 8, 162
2024-02-12 13:55:53.038269, 4, 9, 162
2024-02-12 13:55:53.069443, 2, 10, 162
2024-02-12 13:55:53.100790, 2, 9, 161
2024-02-12 13:55:53.132425, 4, 8, 162
2024-02-12 13:55:53.164894, 4, 9, 161
2024-02-12 13:55:53.202506, 4, 8, 161
2024-02-12 13:55:53.233168, 1, 8, 162
2024-02-12 13:55:53.266150, 4, 6, 161
2024-02-12 13:55:53.297605, 2, 8, 162
2024-02-12 13:55:53.329735, 4, 9, 162
2024-02-12 13:55:53.361774, 2, 7, 162
2024-02-12 13:55:53.396158, 0, 9, 163
2024-02-12 13:55:53.427535, 3, 6, 164
2024-02-12 13:55:53.458896, 3, 8, 165
2024-02-12 13:55:53.491676, 0, 10, 167
2024-02-12 13:55:53.522960, 0, 10, 167
2024-02-12 13:55:53.561240, 4, 9, 167
2024-02-12 13:55:53.590943, 3, 9, 167
2024-02-12 13:55:53.623565, 3, 9, 170
2024-02-12 13:55:53.655446, 1, 10, 169
2024-02-12 13:55:53.686801, 4, 8, 170
2024-02-12 13:55:53.725295, 3, 9, 171
2024-02-12 13:55:53.755920, 3, 11, 173
2024-02-12 13:55:53.787136, 5, 9, 173
2024-02-12 13:55:53.819667, 4, 9, 174
2024-02-12 13:55:53.851706, 3, 10, 175
2024-02-12 13:55:53.882451, 2, 7, 176
2024-02-12 13:55:53.922380, 5, 8, 178
2024-02-12 13:55:53.953608, 3, 6, 178
2024-02-12 13:55:53.985105, 3, 8, 179
2024-02-12 13:55:54.017020, 5, 9, -179
2024-02-12 13:55:54.048987, 4, 10, -178
2024-02-12 13:55:54.086166, 2, 9, -176
2024-02-12 13:55:54.117941, 3, 8, -175
2024-02-12 13:55:54.146330, 4, 9, -174
2024-02-12 13:55:54.181308, 3, 6, -173
2024-02-12 13:55:54.213141, 5, 7, -172
2024-02-12 13:55:54.247580, 5, 4, -172
2024-02-12 13:55:54.280047, 4, 4, -172
2024-02-12 13:55:54.312650, 6, 7, -171
2024-02-12 13:55:54.344705, 6, 6, -171
2024-02-12 13:55:54.376123, 7, 5, -171
2024-02-12 13:55:54.408044, 12, 3, 10
2024-02-12 13:55:54.445713, 12, 1, 9
2024-02-12 13:55:54.474878, 9, 2, 11
2024-02-12 13:55:54.507090, 4, 2, -168
2024-02-12 13:55:54.539259, 4, 1, -167
2024-02-12 13:55:54.571598, 3, 2, -167
2024-02-12 13:55:54.608685, 3, 0, -167
2024-02-12 13:55:54.638987, 10, -1, 11
2024-02-12 13:55:54.671630, 12, 0, 11
2024-02-12 13:55:54.702748, 13, -2, 9
2024-02-12 13:55:54.735218, 14, -2, 9
2024-02-12 13:55:54.772891, 12, -3, 9
2024-02-12 13:55:54.803392, 15, -3, 8
2024-02-12 13:55:54.835484, 12, -2, 8
2024-02-12 13:55:54.866975, 12, -3, 8
2024-02-12 13:55:54.901205, 12, -2, 7
2024-02-12 13:55:54.932521, 5, -1, -173
2024-02-12 13:55:54.970328, 6, 1, -172
2024-02-12 13:55:54.999212, 13, -1, 4
2024-02-12 13:55:55.033949, 14, -1, 4
2024-02-12 13:55:55.065319, 12, 0, 4
2024-02-12 13:55:55.097667, 15, 0, 4
2024-02-12 13:55:55.136655, 14, -1, 4
2024-02-12 13:55:55.164807, 13, 1, 3
2024-02-12 13:55:55.196834, 10, 0, 2
2024-02-12 13:55:55.229356, 11, 0, 2
2024-02-12 13:55:55.261000, 13, 0, 3
2024-02-12 13:55:55.298428, 12, 0, 3
2024-02-12 13:55:55.328502, 2, 1, -176
2024-02-12 13:55:55.361192, 6, -3, 1
2024-02-12 13:55:55.392912, 8, 0, 3
2024-02-12 13:55:55.425053, 4, 3, -177
2024-02-12 13:55:55.451306, 4, 3, -178
2024-02-12 13:55:55.494850, 5, 3, -177
2024-02-12 13:55:55.528461, 4, 6, -177
2024-02-12 13:55:55.557233, 3, 7, -176
2024-02-12 13:55:55.588874, 2, 8, -177
2024-02-12 13:55:55.624954, 4, -2, 0
2024-02-12 13:55:55.660907, 4, 4, -177
2024-02-12 13:55:55.688968, 2, 5, -178
2024-02-12 13:55:55.721468, 3, 5, -177
2024-02-12 13:55:55.757108, 2, 11, -178
2024-02-12 13:55:55.789386, 3, 5, -176
