threshold,start,end
0.6,2024-01-27 02:30:21.690746+09:00,2024-01-27 02:30:23.610659+09:00
0.8,2024-01-27 02:30:21.690746+09:00,2024-01-27 02:30:23.610659+09:00
1.0,2024-01-27 02:30:21.690746+09:00,2024-01-27 02:30:23.595615+09:00
1.2,2024-01-27 02:30:22.327940+09:00,2024-01-27 02:30:22.688246+09:00
1.4,2024-01-27 02:30:22.327940+09:00,2024-01-27 02:30:22.568126+09:00
1.6,2024-01-27 02:30:22.327940+09:00,2024-01-27 02:30:22.561002+09:00
1.8,2024-01-27 02:30:22.335519+09:00,2024-01-27 02:30:22.545484+09:00
2.0,2024-01-27 02:30:22.335519+09:00,2024-01-27 02:30:22.350622+09:00
