Device Address,Sample Number,Timestamp,X,Y,Z
F9:41:F3:3B:21:24,0,2024-02-05 12:25:11.118376+09:00,-0.74560546875,0.56005859375,-0.35888671875
F9:41:F3:3B:21:24,1,2024-02-05 12:25:13.398489+09:00,-0.58642578125,0.81494140625,-0.3291015625
F9:41:F3:3B:21:24,2,2024-02-05 12:25:13.413559+09:00,-0.54541015625,0.78125,-0.34375
F9:41:F3:3B:21:24,3,2024-02-05 12:25:13.420977+09:00,-0.521484375,0.783203125,-0.34375
F9:41:F3:3B:21:24,4,2024-02-05 12:25:13.421764+09:00,-0.50830078125,0.76171875,-0.328125
F9:41:F3:3B:21:24,5,2024-02-05 12:25:13.436126+09:00,-0.498046875,0.73828125,-0.30859375
F9:41:F3:3B:21:24,6,2024-02-05 12:25:13.443661+09:00,-0.53759765625,0.77392578125,-0.28759765625
F9:41:F3:3B:21:24,7,2024-02-05 12:25:13.451130+09:00,-0.5595703125,0.77294921875,-0.26708984375
F9:41:F3:3B:21:24,8,2024-02-05 12:25:13.465753+09:00,-0.56201171875,0.77099609375,-0.2568359375
F9:41:F3:3B:21:24,9,2024-02-05 12:25:13.474212+09:00,-0.5595703125,0.77734375,-0.24951171875
F9:41:F3:3B:21:24,10,2024-02-05 12:25:13.481218+09:00,-0.5380859375,0.72216796875,-0.24072265625
F9:41:F3:3B:21:24,11,2024-02-05 12:25:13.495825+09:00,-0.52001953125,0.7080078125,-0.23046875
F9:41:F3:3B:21:24,12,2024-02-05 12:25:13.503677+09:00,-0.49169921875,0.69775390625,-0.220703125
F9:41:F3:3B:21:24,13,2024-02-05 12:25:13.511222+09:00,-0.45166015625,0.6591796875,-0.20556640625
F9:41:F3:3B:21:24,14,2024-02-05 12:25:13.525779+09:00,-0.4150390625,0.61767578125,-0.1787109375
F9:41:F3:3B:21:24,15,2024-02-05 12:25:13.533379+09:00,-0.37646484375,0.5791015625,-0.13427734375
F9:41:F3:3B:21:24,16,2024-02-05 12:25:13.541164+09:00,-0.33349609375,0.53173828125,-0.08154296875
F9:41:F3:3B:21:24,17,2024-02-05 12:25:13.555780+09:00,-0.2880859375,0.48388671875,-0.04833984375
F9:41:F3:3B:21:24,18,2024-02-05 12:25:13.563336+09:00,-0.251953125,0.47607421875,-0.046875
F9:41:F3:3B:21:24,19,2024-02-05 12:25:13.571151+09:00,-0.21337890625,0.47119140625,-0.07958984375
F9:41:F3:3B:21:24,20,2024-02-05 12:25:13.593472+09:00,-0.15478515625,0.4541015625,-0.1494140625
F9:41:F3:3B:21:24,21,2024-02-05 12:25:13.594220+09:00,-0.0751953125,0.462890625,-0.28125
F9:41:F3:3B:21:24,22,2024-02-05 12:25:13.601162+09:00,-0.0048828125,0.5234375,-0.45263671875
F9:41:F3:3B:21:24,23,2024-02-05 12:25:13.615839+09:00,-0.4423828125,1.3759765625,-0.8291015625
F9:41:F3:3B:21:24,24,2024-02-05 12:25:13.623323+09:00,-3.42138671875,3.4677734375,-1.892578125
F9:41:F3:3B:21:24,25,2024-02-05 12:25:13.631156+09:00,-0.75927734375,0.1455078125,-1.08056640625
F9:41:F3:3B:21:24,26,2024-02-05 12:25:13.646416+09:00,0.5400390625,0.94384765625,-0.94140625
F9:41:F3:3B:21:24,27,2024-02-05 12:25:13.653642+09:00,0.23876953125,1.08056640625,-0.76904296875
F9:41:F3:3B:21:24,28,2024-02-05 12:25:13.668437+09:00,-0.49755859375,0.845703125,-0.32080078125
F9:41:F3:3B:21:24,29,2024-02-05 12:25:13.675833+09:00,-0.83740234375,0.8486328125,-0.3359375
F9:41:F3:3B:21:24,30,2024-02-05 12:25:13.683264+09:00,-0.57861328125,0.8203125,-0.50341796875
F9:41:F3:3B:21:24,31,2024-02-05 12:25:13.691165+09:00,-0.466796875,0.705078125,-0.36865234375
F9:41:F3:3B:21:24,32,2024-02-05 12:25:13.706241+09:00,-0.81201171875,0.59326171875,-0.04443359375
F9:41:F3:3B:21:24,33,2024-02-05 12:25:13.713330+09:00,-1.130859375,0.52880859375,0.2490234375
F9:41:F3:3B:21:24,34,2024-02-05 12:25:13.720821+09:00,-1.21484375,0.46240234375,0.41845703125
F9:41:F3:3B:21:24,35,2024-02-05 12:25:13.728709+09:00,-1.2705078125,0.4033203125,0.5185546875
F9:41:F3:3B:21:24,36,2024-02-05 12:25:13.743225+09:00,-1.400390625,0.32568359375,0.58984375
F9:41:F3:3B:21:24,37,2024-02-05 12:25:13.751214+09:00,-1.4697265625,0.27685546875,0.572265625
F9:41:F3:3B:21:24,38,2024-02-05 12:25:13.758391+09:00,-1.50537109375,0.20947265625,0.62158203125
F9:41:F3:3B:21:24,39,2024-02-05 12:25:13.773236+09:00,-1.5517578125,0.15185546875,0.6171875
F9:41:F3:3B:21:24,40,2024-02-05 12:25:13.780729+09:00,-1.55078125,0.138671875,0.4716796875
F9:41:F3:3B:21:24,41,2024-02-05 12:25:13.788740+09:00,-1.5078125,0.1669921875,0.248046875
F9:41:F3:3B:21:24,42,2024-02-05 12:25:13.803272+09:00,-1.416015625,0.17138671875,0.0322265625
