threshold,start,end
0.01,2024-02-05 12:25:35.208549+09:00,2024-02-05 12:25:35.688577+09:00
0.03,2024-02-05 12:25:35.208549+09:00,2024-02-05 12:25:35.680647+09:00
0.05,2024-02-05 12:25:35.321234+09:00,2024-02-05 12:25:35.680647+09:00
0.07,2024-02-05 12:25:35.328566+09:00,2024-02-05 12:25:35.666016+09:00
0.09,2024-02-05 12:25:35.328566+09:00,2024-02-05 12:25:35.666016+09:00
0.11,2024-02-05 12:25:35.343082+09:00,2024-02-05 12:25:35.666016+09:00
0.13,2024-02-05 12:25:35.343082+09:00,2024-02-05 12:25:35.560561+09:00
0.15,2024-02-05 12:25:35.343082+09:00,2024-02-05 12:25:35.560561+09:00
0.17,2024-02-05 12:25:35.343082+09:00,2024-02-05 12:25:35.560561+09:00
0.19,2024-02-05 12:25:35.343082+09:00,2024-02-05 12:25:35.395915+09:00
0.21,2024-02-05 12:25:35.343082+09:00,2024-02-05 12:25:35.395915+09:00
