Time 2023-12-04 12:54:14.280223, yaw 6, pitch -15, roll 1
Time 2023-12-04 12:54:14.409627, yaw 5, pitch -16, roll 1
Time 2023-12-04 12:54:14.545609, yaw 5, pitch -16, roll 1
Time 2023-12-04 12:54:14.674899, yaw 6, pitch -15, roll 1
Time 2023-12-04 12:54:14.814255, yaw 5, pitch -15, roll 1
Time 2023-12-04 12:54:14.941702, yaw 6, pitch -15, roll 1
Time 2023-12-04 12:54:15.080339, yaw 6, pitch -15, roll 1
Time 2023-12-04 12:54:15.208558, yaw 7, pitch -15, roll 1
Time 2023-12-04 12:54:15.346806, yaw 6, pitch -17, roll 1
Time 2023-12-04 12:54:15.474914, yaw 6, pitch -15, roll 2
Time 2023-12-04 12:54:15.614274, yaw 5, pitch -16, roll 1
Time 2023-12-04 12:54:15.712920, yaw 3, pitch -17, roll 0
Time 2023-12-04 12:54:15.811685, yaw 6, pitch -16, roll 0
Time 2023-12-04 12:54:15.915044, yaw 7, pitch -14, roll 1
Time 2023-12-04 12:54:16.042327, yaw 9, pitch -12, roll 1
Time 2023-12-04 12:54:16.147728, yaw 12, pitch -17, roll 0
Time 2023-12-04 12:54:16.280386, yaw 10, pitch -13, roll 1
Time 2023-12-04 12:54:16.380192, yaw 10, pitch -12, roll 1
Time 2023-12-04 12:54:16.508494, yaw 11, pitch -12, roll 1
Time 2023-12-04 12:54:16.614248, yaw 12, pitch -12, roll 1
Time 2023-12-04 12:54:16.745446, yaw 11, pitch -13, roll 0
Time 2023-12-04 12:54:16.847001, yaw 9, pitch -14, roll 0
Time 2023-12-04 12:54:16.973827, yaw 6, pitch -14, roll 1
Time 2023-12-04 12:54:17.079821, yaw 5, pitch -14, roll 0
Time 2023-12-04 12:54:17.213545, yaw 0, pitch -15, roll 0
Time 2023-12-04 12:54:17.311372, yaw -1, pitch -15, roll 1
Time 2023-12-04 12:54:17.441920, yaw -3, pitch -14, roll -1
Time 2023-12-04 12:54:17.546604, yaw -3, pitch -18, roll 0
Time 2023-12-04 12:54:17.678323, yaw -4, pitch -15, roll -1
Time 2023-12-04 12:54:17.781653, yaw -5, pitch -15, roll -1
Time 2023-12-04 12:54:17.878809, yaw -4, pitch -17, roll -1
Time 2023-12-04 12:54:17.980536, yaw -5, pitch -17, roll -1
Time 2023-12-04 12:54:18.107390, yaw -4, pitch -17, roll -1
Time 2023-12-04 12:54:18.213977, yaw -4, pitch -17, roll -1
Time 2023-12-04 12:54:18.346377, yaw -5, pitch -16, roll -1
Time 2023-12-04 12:54:18.445211, yaw -4, pitch -16, roll -1
Time 2023-12-04 12:54:18.574107, yaw -4, pitch -17, roll 0
Time 2023-12-04 12:54:18.678771, yaw -5, pitch -18, roll 0
Time 2023-12-04 12:54:18.812034, yaw -5, pitch -16, roll -1
Time 2023-12-04 12:54:18.939966, yaw -3, pitch -16, roll -1
Time 2023-12-04 12:54:19.081136, yaw -4, pitch -16, roll -1
Time 2023-12-04 12:54:19.210252, yaw -4, pitch -18, roll -1
Time 2023-12-04 12:54:19.378184, yaw -2, pitch -16, roll 0
Time 2023-12-04 12:54:19.480398, yaw -2, pitch -15, roll 0
Time 2023-12-04 12:54:19.608175, yaw -1, pitch -15, roll 2
Time 2023-12-04 12:54:19.711728, yaw 1, pitch -14, roll 1
Time 2023-12-04 12:54:19.810407, yaw 2, pitch -13, roll 0
Time 2023-12-04 12:54:19.910412, yaw 6, pitch -12, roll 1
Time 2023-12-04 12:54:20.044229, yaw 8, pitch -13, roll 1
Time 2023-12-04 12:54:20.144780, yaw 9, pitch -15, roll 0
Time 2023-12-04 12:54:20.273388, yaw 10, pitch -11, roll 2
Time 2023-12-04 12:54:20.377617, yaw 12, pitch -14, roll 1
Time 2023-12-04 12:54:20.512877, yaw 15, pitch -10, roll 2
Time 2023-12-04 12:54:20.610479, yaw 13, pitch -14, roll 1
Time 2023-12-04 12:54:20.706012, yaw 14, pitch -10, roll 3
Time 2023-12-04 12:54:20.811093, yaw 12, pitch -11, roll 3
Time 2023-12-04 12:54:20.944464, yaw 13, pitch -14, roll 1
Time 2023-12-04 12:54:21.045350, yaw 13, pitch -14, roll 0
Time 2023-12-04 12:54:21.187369, yaw 14, pitch -14, roll 0
Time 2023-12-04 12:54:21.276253, yaw 12, pitch -15, roll 0
Time 2023-12-04 12:54:21.413655, yaw 12, pitch -15, roll 0
Time 2023-12-04 12:54:21.512450, yaw 15, pitch -16, roll 0
Time 2023-12-04 12:54:21.610737, yaw 15, pitch -15, roll 0
Time 2023-12-04 12:54:21.739160, yaw 14, pitch -15, roll 0
Time 2023-12-04 13:06:41.294408, yaw 21, pitch -3, roll 1
Time 2023-12-17 17:54:38.031756, yaw 2, pitch -13, roll -13
Time 2023-12-17 17:54:38.236659, yaw 4, pitch -13, roll -13
Time 2023-12-17 17:54:38.469488, yaw 4, pitch -11, roll -13
Time 2023-12-17 17:54:38.870897, yaw 4, pitch -13, roll -13
Time 2023-12-17 17:54:39.568624, yaw 14, pitch -9, roll -14
Time 2023-12-17 17:54:39.667245, yaw 22, pitch -7, roll -13
Time 2023-12-17 17:54:39.768560, yaw 24, pitch -8, roll -12
Time 2023-12-17 17:54:39.870445, yaw 20, pitch -6, roll -13
Time 2023-12-17 17:54:39.969240, yaw 15, pitch -6, roll -11
Time 2023-12-17 17:54:40.068446, yaw 15, pitch -2, roll -9
Time 2023-12-17 17:54:40.268634, yaw 1, pitch -10, roll -8
Time 2023-12-17 17:54:40.370817, yaw 5, pitch -9, roll -10
Time 2023-12-17 17:54:40.467515, yaw 4, pitch -3, roll -8
Time 2023-12-17 17:54:40.569027, yaw 7, pitch -9, roll -9
Time 2023-12-17 17:54:40.668683, yaw 5, pitch -12, roll -7
Time 2023-12-17 17:54:40.770265, yaw 7, pitch -8, roll -4
Time 2023-12-17 17:54:40.868953, yaw 12, pitch -10, roll -2
Time 2023-12-17 17:54:40.966023, yaw 12, pitch -10, roll -4
Time 2023-12-17 17:54:41.168631, yaw 11, pitch -11, roll -5
Time 2023-12-17 17:54:41.368876, yaw 7, pitch -7, roll -9
Time 2023-12-17 17:54:41.469353, yaw 8, pitch -6, roll -9
Time 2023-12-17 17:54:41.566708, yaw 7, pitch -7, roll -10
Time 2023-12-17 17:54:41.669797, yaw 10, pitch -8, roll -11
Time 2023-12-17 17:54:41.766970, yaw 11, pitch -6, roll -10
Time 2023-12-17 17:54:41.869603, yaw 12, pitch -7, roll -10
Time 2023-12-17 17:54:41.962851, yaw 11, pitch -7, roll -11
Time 2023-12-17 17:54:42.064941, yaw 12, pitch -8, roll -11
Time 2023-12-17 17:54:42.169729, yaw 12, pitch -8, roll -11
Time 2023-12-17 17:54:42.269423, yaw 12, pitch -9, roll -11
Time 2023-12-17 17:54:42.467543, yaw 13, pitch -9, roll -11
Time 2023-12-17 17:54:42.567786, yaw 11, pitch -9, roll -11
Time 2023-12-17 17:54:42.666827, yaw 11, pitch -9, roll -11
Time 2023-12-17 17:54:43.602110, yaw 12, pitch -11, roll -11
Time 2023-12-17 17:54:43.702465, yaw 13, pitch -12, roll -12
