threshold,start,end
0.01,2024-02-05 12:25:13.443661+09:00,2024-02-05 12:25:14.246145+09:00
0.03,2024-02-05 12:25:13.443661+09:00,2024-02-05 12:25:14.096179+09:00
0.05,2024-02-05 12:25:13.481218+09:00,2024-02-05 12:25:14.096179+09:00
0.07,2024-02-05 12:25:13.541164+09:00,2024-02-05 12:25:14.088370+09:00
0.09,2024-02-05 12:25:13.601162+09:00,2024-02-05 12:25:14.028292+09:00
0.11,2024-02-05 12:25:13.601162+09:00,2024-02-05 12:25:13.961059+09:00
0.13,2024-02-05 12:25:13.601162+09:00,2024-02-05 12:25:13.713330+09:00
0.15,2024-02-05 12:25:13.615839+09:00,2024-02-05 12:25:13.713330+09:00
0.17,2024-02-05 12:25:13.615839+09:00,2024-02-05 12:25:13.713330+09:00
0.19,2024-02-05 12:25:13.615839+09:00,2024-02-05 12:25:13.713330+09:00
0.21,2024-02-05 12:25:13.615839+09:00,2024-02-05 12:25:13.713330+09:00
