threshold,start,end
0.6,2024-01-27 02:31:04.561744+09:00,2024-01-27 02:31:06.466716+09:00
0.8,2024-01-27 02:31:04.561744+09:00,2024-01-27 02:31:06.466716+09:00
1.0,2024-01-27 02:31:04.561744+09:00,2024-01-27 02:31:06.466716+09:00
1.2,2024-01-27 02:31:04.974229+09:00,2024-01-27 02:31:05.259232+09:00
1.4,2024-01-27 02:31:04.974229+09:00,2024-01-27 02:31:05.161751+09:00
1.6,2024-01-27 02:31:04.974229+09:00,2024-01-27 02:31:04.988947+09:00
1.8,2024-01-27 02:31:04.974229+09:00,2024-01-27 02:31:04.981882+09:00
2.0,2024-01-27 02:31:04.974229+09:00,2024-01-27 02:31:04.981882+09:00
