threshold,start,end
0.01,2024-02-05 12:24:03.964535+09:00,2024-02-05 12:24:04.691211+09:00
0.03,2024-02-05 12:24:04.203703+09:00,2024-02-05 12:24:04.646809+09:00
0.05,2024-02-05 12:24:04.211358+09:00,2024-02-05 12:24:04.639419+09:00
0.07,2024-02-05 12:24:04.226384+09:00,2024-02-05 12:24:04.623969+09:00
0.09,2024-02-05 12:24:04.226384+09:00,2024-02-05 12:24:04.518702+09:00
0.11,2024-02-05 12:24:04.226384+09:00,2024-02-05 12:24:04.518702+09:00
0.13,2024-02-05 12:24:04.233945+09:00,2024-02-05 12:24:04.518702+09:00
0.15,2024-02-05 12:24:04.233945+09:00,2024-02-05 12:24:04.511204+09:00
0.17,2024-02-05 12:24:04.233945+09:00,2024-02-05 12:24:04.511204+09:00
0.19,2024-02-05 12:24:04.286223+09:00,2024-02-05 12:24:04.511204+09:00
0.21,2024-02-05 12:24:04.286223+09:00,2024-02-05 12:24:04.511204+09:00
