threshold,start,end
0.01,2024-02-05 12:25:31.188797+09:00,2024-02-05 12:25:31.886302+09:00
0.03,2024-02-05 12:25:31.248640+09:00,2024-02-05 12:25:31.833568+09:00
0.05,2024-02-05 12:25:31.248640+09:00,2024-02-05 12:25:31.803499+09:00
0.07,2024-02-05 12:25:31.270744+09:00,2024-02-05 12:25:31.803499+09:00
0.09,2024-02-05 12:25:31.270744+09:00,2024-02-05 12:25:31.796260+09:00
0.11,2024-02-05 12:25:31.278293+09:00,2024-02-05 12:25:31.765727+09:00
0.13,2024-02-05 12:25:31.278293+09:00,2024-02-05 12:25:31.765727+09:00
0.15,2024-02-05 12:25:31.315803+09:00,2024-02-05 12:25:31.705800+09:00
0.17,2024-02-05 12:25:31.315803+09:00,2024-02-05 12:25:31.623344+09:00
0.19,2024-02-05 12:25:31.331066+09:00,2024-02-05 12:25:31.623344+09:00
0.21,2024-02-05 12:25:31.331066+09:00,2024-02-05 12:25:31.623344+09:00
